Date,Open,High,Low,Close,Volume
2021-10-04,5645,6250,5645,6250,1143
2021-10-05,6250,6485,5785,6250,102
2021-10-06,6200,6245,6200,6245,100
2021-10-07,6200,6230,5900,5900,180
2021-10-08,6200,6200,5900,6150,140
2021-10-11,5915,6200,5900,6190,249
2021-10-12,6190,6190,6190,6190,40
2021-10-14,6000,6400,6000,6400,41
2021-10-15,6000,6400,6000,6400,206
2021-10-21,6000,6300,6000,6300,59
2021-10-22,6300,6300,6200,6200,76
2021-10-25,6400,6400,5735,6200,3359
2021-10-26,6400,6400,6400,6400,1
2021-10-27,6000,6000,5995,6000,195
2021-10-28,5995,5995,5995,5995,367
2021-10-29,5950,6000,5950,6000,287
2021-11-03,5955,6000,5955,6000,110
2021-11-04,6000,6000,6000,6000,1020
2021-11-05,6000,6000,6000,6000,10
2021-11-08,5955,5990,5955,5990,77
2021-11-09,5990,5990,5990,5990,25
2021-11-10,5955,5990,5955,5955,220
2021-11-11,5955,5990,5510,5990,31
2021-11-12,5990,6000,5990,6000,813
2021-11-16,5995,6000,5990,6000,139
2021-11-17,5995,5995,5990,5995,257
2021-11-18,5995,6000,5995,6000,4883
2021-11-19,5990,6000,5990,6000,290
2021-11-22,5990,5990,5990,5990,79
2021-11-23,5995,6000,5885,6000,1204
2021-11-24,5990,6000,5990,6000,160
2021-11-25,6000,6000,6000,6000,425
2021-11-29,6000,6000,6000,6000,20
2021-11-30,5980,6000,5950,6000,53
2021-12-01,6000,6000,6000,6000,405
2021-12-02,6000,6000,5905,6000,1140
2021-12-03,6000,6000,5975,6000,466
2021-12-06,5995,6000,5995,6000,2483
2021-12-07,6000,6000,6000,6000,2000
2021-12-08,6000,6000,5995,6000,3880
2021-12-09,6000,6000,5990,6000,5730
2021-12-10,6000,6000,6000,6000,7280
2021-12-13,6000,6000,6000,6000,84407
2021-12-14,6200,6450,6080,6445,4246
2021-12-15,6445,6800,6445,6800,3993
2021-12-16,6800,6900,6800,6890,2435
2021-12-17,6375,6800,6375,6800,2
2021-12-20,6600,7000,6600,7000,31021
2021-12-21,7000,7000,7000,7000,11
2021-12-23,6950,7000,6950,7000,1013
2021-12-24,7000,7000,7000,7000,260
2021-12-27,6990,7525,6990,7525,33045
2021-12-28,7525,7525,7525,7525,1100
2021-12-29,7525,7525,7525,7525,2875
2021-12-30,6965,7500,6965,7500,2953
2021-12-31,7400,7400,7400,7400,300
2022-01-03,7250,7250,7250,7250,5
2022-01-04,6710,6710,6710,6710,5
2022-01-05,6210,6210,6210,6210,5
2022-01-07,6100,6100,6100,6100,90
2022-01-10,6100,6100,6050,6050,1530
2022-01-11,6100,6100,6000,6000,1885
2022-01-12,6000,6000,6000,6000,40
2022-01-13,6000,6000,6000,6000,10
2022-01-17,6000,6000,6000,6000,3005
2022-01-18,6400,6400,6400,6400,1
2022-01-20,6000,6000,6000,6000,3329
2022-01-21,6000,6400,6000,6400,31
2022-01-24,6400,6425,6400,6425,132
2022-01-25,6410,6410,6410,6410,100
2022-01-27,6400,6400,6100,6100,55
2022-01-28,6000,6000,6000,6000,102
2022-01-31,6000,6000,6000,6000,11
2022-02-01,6000,6410,5950,6000,4170
2022-02-02,6000,6000,5925,5925,33
2022-02-03,5925,5925,5800,5800,928
2022-02-04,5800,5915,5800,5915,130
2022-02-07,5915,6300,5915,6300,151
2022-02-08,6295,6295,5830,6295,31
2022-02-09,6295,6295,6295,6295,20
2022-02-10,5855,5860,5855,5860,150
2022-02-11,5865,6290,5865,6290,12
2022-02-15,6250,6250,6250,6250,122
2022-02-16,6280,6280,6280,6280,25
2022-02-17,6280,6280,6000,6200,211
2022-02-18,6200,6250,6200,6200,1982
2022-02-21,6200,6200,5910,6200,262
2022-02-22,6200,6200,6000,6010,1275
2022-02-24,6020,6020,6020,6020,15
2022-02-25,6020,6400,6000,6400,1105
2022-02-28,6050,6050,6050,6050,123
2022-03-01,6050,6050,6050,6050,1797
2022-03-02,6050,6050,6000,6000,64
2022-03-03,5950,6000,5950,6000,444
2022-03-04,6195,6195,6005,6100,1159
2022-03-07,6000,6000,5950,6000,388
2022-03-08,6000,6000,6000,6000,158
2022-03-09,6000,6000,5950,5950,22
2022-03-10,5900,5950,5900,5900,157
2022-03-11,5900,6000,5900,6000,187
2022-03-14,6000,6000,5990,5990,95
2022-03-15,5900,5990,5900,5990,18
2022-03-16,5990,5990,5990,5990,1
2022-03-17,5990,5990,5900,5990,821
2022-03-18,5900,6000,5900,6000,1000
2022-03-21,6000,6000,5900,6000,3031
2022-03-22,5900,5900,5900,5900,90
2022-03-23,5900,5990,5900,5990,506
2022-03-24,5990,6000,5990,6000,1367
2022-03-25,5810,6000,5810,6000,22
2022-03-28,5815,6400,5700,6400,1006
2022-03-29,6390,6390,6070,6070,59
2022-03-30,6395,6400,6390,6390,630
2022-03-31,6390,6395,6390,6395,10
2022-04-01,6300,6300,6000,6000,46
2022-04-04,5900,5900,5700,5900,2636
2022-04-05,6000,6340,5850,6340,40
2022-04-06,6340,6340,6335,6335,165
2022-04-07,6330,6340,5880,6340,15417
2022-04-08,6340,6340,6250,6250,2105
2022-04-11,6000,6000,6000,6000,2401
2022-04-12,6000,6000,5820,6000,365
2022-04-13,6000,6295,6000,6295,990
2022-04-14,6250,6295,6250,6295,495
2022-04-15,6285,6350,6000,6350,935
2022-04-19,6200,6200,6200,6200,20
2022-04-20,6200,6200,5955,5955,144
2022-04-21,6335,6335,6300,6300,341
2022-04-22,6250,6300,6000,6000,3000
2022-04-25,6000,6300,6000,6300,23294
2022-04-26,6300,6300,6300,6300,27
2022-04-29,6200,6200,6200,6200,112
2022-05-03,6000,6300,6000,6000,143
2022-05-04,6000,6280,6000,6280,821
2022-05-05,6145,6145,6145,6145,5
2022-05-06,6285,6285,6285,6285,6
2022-05-09,6010,6285,6010,6285,56
2022-05-10,6285,6285,6285,6285,3
2022-05-11,6245,6285,6245,6285,89
2022-05-12,6000,6000,6000,6000,592
2022-05-13,6245,6245,6240,6240,42
2022-05-16,6100,6100,6000,6000,1106
2022-05-17,6000,6000,5550,5550,498
2022-05-18,5560,5560,5560,5560,10
2022-05-19,5975,5975,5975,5975,1
2022-05-20,6000,6000,6000,6000,500
2022-05-23,5600,6200,5600,6200,213
2022-05-25,6190,6195,6190,6195,100
2022-05-27,6000,6195,6000,6195,610
2022-05-30,6010,6010,6010,6010,50
2022-05-31,6010,6010,6010,6010,20
2022-06-01,6170,6170,6170,6170,30
2022-06-02,6170,6170,6170,6170,36
2022-06-03,6000,6000,6000,6000,11
2022-06-07,6000,6000,6000,6000,108
2022-06-08,6000,6000,6000,6000,37
2022-06-09,6000,6000,6000,6000,50
2022-06-13,5995,6195,5800,6150,444
2022-06-14,6150,6200,6145,6200,1503
2022-06-15,6195,6200,6150,6200,2012
2022-06-16,6190,6200,6190,6200,501
2022-06-17,6195,6200,6195,6200,594
2022-06-20,6200,6200,6200,6200,276
2022-06-21,5900,6250,5900,6250,152
2022-06-27,6250,6250,6250,6250,105
2022-06-28,6200,6250,6200,6250,506
2022-06-29,6200,6200,6200,6200,100
2022-06-30,6250,6295,6200,6295,1187
2022-07-01,6295,6295,6295,6295,6
2022-07-04,6300,6300,6300,6300,110
2022-07-05,6300,6740,6300,6740,141
2022-07-06,6300,6735,6300,6735,31
2022-07-07,6735,6735,6735,6735,6
2022-07-08,6595,6720,6595,6595,384
2022-07-11,6600,6600,6560,6560,266
2022-07-12,6600,6600,6500,6500,67
2022-07-13,6300,6300,6300,6300,2033
2022-07-14,6300,6300,6250,6250,38
2022-07-15,6250,6715,6250,6715,1483
2022-07-18,6800,6800,6300,6305,69
2022-07-19,6300,6430,6300,6430,4860
2022-07-21,6440,6440,6000,6000,90
2022-07-22,6000,6400,6000,6400,401
2022-07-27,6400,6400,6400,6400,1
2022-07-28,6200,6200,6100,6100,150
2022-08-01,6400,6430,6390,6430,1248
2022-08-02,6430,6430,6430,6430,868
2022-08-03,6500,6600,6500,6600,26
2022-08-04,6550,6550,6550,6550,14
2022-08-05,6550,6900,6400,6900,385
2022-08-09,6900,6900,6400,6800,146
2022-08-10,6400,6800,6400,6400,65
2022-08-11,6800,6800,6405,6405,31
2022-08-12,6405,6405,6405,6405,2
2022-08-16,6405,6405,6405,6405,40
