Date,Open,High,Low,Close,Volume
2021-09-08,8700,8800,8700,8745,251
2021-09-09,8745,8745,8700,8700,317
2021-09-10,8700,8700,8700,8700,55
2021-09-13,8700,8745,8700,8745,1086
2021-09-14,8700,8745,8700,8745,78
2021-09-15,8700,8745,8700,8745,137
2021-09-16,8700,8700,8500,8700,543
2021-09-17,8700,8700,8650,8700,265
2021-09-20,8700,8700,8700,8700,100
2021-09-21,8695,8695,8695,8695,180
2021-09-22,8700,8700,8650,8700,1979
2021-09-23,8700,8700,8500,8700,471
2021-09-24,8695,9000,8695,9000,2090
2021-09-27,9000,9200,9000,9200,468
2021-09-28,9195,9500,9195,9500,1173
2021-09-29,9200,9500,9200,9500,16
2021-09-30,9200,9500,9200,9500,730
2021-10-01,9300,9300,9300,9300,313
2021-10-05,9300,9300,8750,9300,497
2021-10-06,9300,9500,9300,9500,250
2021-10-07,9000,9300,9000,9300,1179
2021-10-08,9300,9300,9300,9300,97
2021-10-11,9300,9300,9300,9300,567
2021-10-12,9200,9300,9195,9300,660
2021-10-13,9100,9300,9100,9300,21
2021-10-14,9200,9295,9200,9295,102
2021-10-15,9150,9300,9100,9300,324
2021-10-19,9300,9300,9200,9300,712
2021-10-20,9300,9300,9250,9300,2455
2021-10-21,9250,9300,9250,9300,36
2021-10-22,9300,9300,9300,9300,28
2021-10-25,9200,9295,9100,9295,985
2021-10-26,9000,9500,9000,9500,1956
2021-10-27,9300,9300,9300,9300,7
2021-10-28,9290,9290,9150,9270,398
2021-10-29,9265,9270,9005,9250,205
2021-11-03,9250,9250,9245,9250,50
2021-11-04,9250,9250,9150,9240,315
2021-11-05,9150,9250,9150,9250,87
2021-11-08,9150,9250,9150,9150,559
2021-11-09,9150,9150,9150,9150,121
2021-11-10,9245,9245,9200,9200,35
2021-11-11,9150,9150,9150,9150,85
2021-11-12,9245,9245,9245,9245,20
2021-11-16,9150,9150,9145,9145,124
2021-11-17,9150,9155,9120,9120,145
2021-11-18,9120,9120,9000,9110,372
2021-11-19,9100,9200,9100,9200,1966
2021-11-22,9200,9250,9200,9250,168
2021-11-23,9245,9250,9200,9200,380
2021-11-24,9200,9200,9200,9200,1112
2021-11-25,9200,9200,9200,9200,541
2021-11-29,9100,9200,8650,9200,146
2021-11-30,9050,9150,9050,9150,3
2021-12-01,9100,9100,9100,9100,11
2021-12-02,9050,9200,9050,9200,791
2021-12-03,9100,9200,9100,9100,675
2021-12-06,9095,9095,9050,9050,638
2021-12-07,9010,9050,9010,9050,672
2021-12-08,9010,9095,9010,9050,259
2021-12-10,9010,9010,8995,9000,1420
2021-12-13,9150,9150,9150,9150,60
2021-12-14,9150,9150,9150,9150,860
2021-12-15,9150,9300,9150,9300,5293
2021-12-16,9175,9500,9175,9500,1055
2021-12-17,9300,9500,9300,9500,121
2021-12-20,9400,9500,9400,9500,156
2021-12-21,9500,10000,9150,10000,4669
2021-12-23,9500,9700,9310,9700,1989
2021-12-24,9650,9850,9650,9850,665
2021-12-27,9700,10150,9150,9200,1059
2021-12-28,9200,9200,9005,9005,333
2021-12-29,9005,9680,9005,9680,1458
2021-12-30,9500,10405,9025,10405,3870
2021-12-31,10495,10500,10495,10500,6100
2022-01-04,10710,10710,10710,10710,3785
2022-01-05,10500,10500,9910,9910,52
2022-01-06,10395,10395,10395,10395,30
2022-01-07,9910,10375,9910,10375,53
2022-01-10,10375,10385,10375,10385,53
2022-01-12,10320,10375,10310,10375,830
2022-01-13,10355,10375,10355,10375,75
2022-01-17,10000,10350,10000,10350,19
2022-01-18,10350,10350,10350,10350,1
2022-01-20,10320,10350,10320,10350,50
2022-01-21,10300,10300,10300,10300,5
2022-01-26,10230,10230,10230,10230,25
2022-01-27,10000,10240,10000,10000,1115
2022-01-28,9900,10140,9800,10140,1681
2022-01-31,10000,10000,10000,10000,67
